,Flow status,Flow date,Decision date,Amount (USD),Source Organization,Source Organization type,Source Location,Source Usage year,Source Field cluster,Source Sector,Destination Organization,Destination Usage year,Destination Organization type,Destination Location,Destination Field cluster,Destination Sector,New money,Last updated,Created,Earmarking,Budget year,Contribution type,Flow type,Reporting organization,Unnamed: 41,Unnamed: 42,Unnamed: 43
136515,Paid Contribution,09/10/2017,,1460490,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2017,,,Red Crescent Society of the United Arab Emirates,2017,Red Cross/Red Crescent: National Society,Yemen,,Health,Yes,07/11/2017,07/11/2017,,,financial,Standard,"United Arab Emirates, Government of",,,
136517,Paid Contribution,09/10/2017,,1872412,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2017,,,Red Crescent Society of the United Arab Emirates,2017,Red Cross/Red Crescent: National Society,Yemen,,Camp Coordination / Management,Yes,21/11/2017,07/11/2017,,,financial,Standard,"United Arab Emirates, Government of",,,
136518,Paid Contribution,28/08/2017,28/08/2017,1899827,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2017,,,Red Crescent Society of the United Arab Emirates,2017,Red Cross/Red Crescent: National Society,Yemen,,Camp Coordination / Management,Yes,21/11/2017,07/11/2017,,,financial,Standard,"United Arab Emirates, Government of",,,
136519,Paid Contribution,17/08/2017,17/08/2017,1227075,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2017,,,Red Crescent Society of the United Arab Emirates,2017,Red Cross/Red Crescent: National Society,Yemen,,Health,Yes,07/11/2017,07/11/2017,,,financial,Standard,"United Arab Emirates, Government of",,,
136520,Paid Contribution,03/08/2017,03/08/2017,426632,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2017,,,Red Crescent Society of the United Arab Emirates,2017,Red Cross/Red Crescent: National Society,Yemen,,Education,Yes,07/11/2017,07/11/2017,,,financial,Standard,"United Arab Emirates, Government of",,,
136521,Paid Contribution,09/09/2017,09/09/2017,800436,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2017,,,Red Crescent Society of the United Arab Emirates,2017,Red Cross/Red Crescent: National Society,Yemen,,Water Sanitation Hygiene,Yes,07/11/2017,07/11/2017,,,financial,Standard,"United Arab Emirates, Government of",,,
136540,Paid Contribution,13/07/2017,,948767,"Norway, Government of",Government: National government,Norway,2017,,,Norwegian Refugee Council,2017,NGO: International,Yemen,,,Yes,07/11/2017,07/11/2017,,2017,financial,Standard,"Norway, Government of",,,
136564,Paid Contribution,28/03/2017,28/03/2017,76547,"Sweden, Government of",Government: National government,Sweden,2017,,,International Rescue Committee,2017,NGO: International,Yemen,Health,Health,Yes,07/11/2017,07/11/2017,,2017,financial,Standard,International Rescue Committee,,,
136577,Paid Contribution,27/10/2017,22/12/2016,220070,"Sweden, Government of",Government: National government,Sweden,2017,,,International Rescue Committee,2017,NGO: International,Yemen,WASH,Water Sanitation Hygiene,Yes,08/11/2017,08/11/2017,,,financial,Standard,International Rescue Committee,,,
136578,Paid Contribution,27/10/2017,22/12/2016,239207,"Sweden, Government of",Government: National government,Sweden,2017,,,International Rescue Committee,2017,NGO: International,Yemen,Protection,Protection,Yes,08/11/2017,08/11/2017,,,financial,Standard,International Rescue Committee,,,
136849,Paid Contribution,29/09/2017,,25082,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2017,,,Red Crescent Society of the United Arab Emirates,2017,Red Cross/Red Crescent: National Society,Yemen,,Water Sanitation Hygiene,Yes,14/11/2017,14/11/2017,,,financial,Standard,"United Arab Emirates, Government of",,,
136850,Paid Contribution,28/09/2017,,107595,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2017,,,Red Crescent Society of the United Arab Emirates,2017,Red Cross/Red Crescent: National Society,Yemen,,Education,Yes,14/11/2017,14/11/2017,,,financial,Standard,"United Arab Emirates, Government of",,,
136851,Paid Contribution,22/09/2017,,28776,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2017,,,Red Crescent Society of the United Arab Emirates,2017,Red Cross/Red Crescent: National Society,Yemen,,Coordination and support services,Yes,14/11/2017,14/11/2017,,,financial,Standard,"United Arab Emirates, Government of",,,
136852,Paid Contribution,22/09/2017,,4827,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2017,,,Red Crescent Society of the United Arab Emirates,2017,Red Cross/Red Crescent: National Society,Yemen,,Coordination and support services,Yes,14/11/2017,14/11/2017,,,financial,Standard,"United Arab Emirates, Government of",,,
136853,Paid Contribution,22/09/2017,,77537,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2017,,,Red Crescent Society of the United Arab Emirates,2017,Red Cross/Red Crescent: National Society,Yemen,,Health,Yes,14/11/2017,14/11/2017,,,financial,Standard,"United Arab Emirates, Government of",,,
136854,Paid Contribution,22/09/2017,,4024,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2017,,,Red Crescent Society of the United Arab Emirates,2017,Red Cross/Red Crescent: National Society,Yemen,,Food Security,Yes,14/11/2017,14/11/2017,,,financial,Standard,"United Arab Emirates, Government of",,,
136855,Paid Contribution,22/09/2017,,18191,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2017,,,Red Crescent Society of the United Arab Emirates,2017,Red Cross/Red Crescent: National Society,Yemen,,Health,Yes,14/11/2017,14/11/2017,,,financial,Standard,"United Arab Emirates, Government of",,,
136856,Paid Contribution,22/09/2017,,24059,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2017,,,Red Crescent Society of the United Arab Emirates,2017,Red Cross/Red Crescent: National Society,Yemen,,Early Recovery,Yes,14/11/2017,14/11/2017,,,financial,Standard,"United Arab Emirates, Government of",,,
136857,Paid Contribution,22/09/2017,,28116,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2017,,,Red Crescent Society of the United Arab Emirates,2017,Red Cross/Red Crescent: National Society,Yemen,,Education,Yes,14/11/2017,14/11/2017,,,financial,Standard,"United Arab Emirates, Government of",,,
136858,Paid Contribution,22/09/2017,,19201,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2017,,,Red Crescent Society of the United Arab Emirates,2017,Red Cross/Red Crescent: National Society,Yemen,,Water Sanitation Hygiene,Yes,14/11/2017,14/11/2017,,,financial,Standard,"United Arab Emirates, Government of",,,
136859,Paid Contribution,22/09/2017,,225909,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2017,,,Red Crescent Society of the United Arab Emirates,2017,Red Cross/Red Crescent: National Society,Yemen,,Early Recovery,Yes,14/11/2017,14/11/2017,,,financial,Standard,"United Arab Emirates, Government of",,,
136860,Paid Contribution,11/10/2017,,7204,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2017,,,Red Crescent Society of the United Arab Emirates,2017,Red Cross/Red Crescent: National Society,Yemen,,Education,Yes,14/11/2017,14/11/2017,,,financial,Standard,"United Arab Emirates, Government of",,,
136861,Paid Contribution,28/09/2017,,50027,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2017,,,Red Crescent Society of the United Arab Emirates,2017,Red Cross/Red Crescent: National Society,Yemen,,Coordination and support services,Yes,14/11/2017,14/11/2017,,,financial,Standard,"United Arab Emirates, Government of",,,
136862,Paid Contribution,21/08/2017,,124468,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2017,,,Red Crescent Society of the United Arab Emirates,2017,Red Cross/Red Crescent: National Society,Yemen,,Health,Yes,14/11/2017,14/11/2017,,,financial,Standard,"United Arab Emirates, Government of",,,
136863,Paid Contribution,13/09/2017,,19244,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2017,,,Red Crescent Society of the United Arab Emirates,2017,Red Cross/Red Crescent: National Society,Yemen,,Food Security,Yes,14/11/2017,14/11/2017,,,financial,Standard,"United Arab Emirates, Government of",,,
136864,Paid Contribution,27/09/2017,,1201,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2017,,,Red Crescent Society of the United Arab Emirates,2017,Red Cross/Red Crescent: National Society,Yemen,,Health,Yes,14/11/2017,14/11/2017,,,financial,Standard,"United Arab Emirates, Government of",,,
136889,Paid Contribution,07/09/2017,,711146,"Norway, Government of",Government: National government,Norway,2017,,,Norwegian Red Cross,2017,Red Cross/Red Crescent: National Society,Yemen,,,Yes,15/11/2017,15/11/2017,,2017,financial,Standard,"Norway, Government of",,,
136901,Paid Contribution,03/09/2017,,830171,"Norway, Government of",Government: National government,Norway,2017,,,Norwegian Red Cross,2017,Red Cross/Red Crescent: National Society,Yemen,,,Yes,15/11/2017,15/11/2017,,2017,financial,Standard,"Norway, Government of",,,
137155,Paid Contribution,01/11/2017,01/11/2017,1742160,"Finland, Government of",Government: National government,Finland,2017,,,United Nations High Commissioner for Refugees,2017,UN agency,Yemen,Protection,Protection,Yes,21/12/2017,21/12/2017,,2017,financial,Standard,United Nations High Commissioner for Refugees,,,
137270,Paid Contribution,29/11/2017,29/11/2017,2903600,"Netherlands, Government of",Government: National government,Netherlands,2017,,,Yemen Humanitarian Fund,2017,Pooled fund: Country-based,Yemen,,,Yes,04/12/2017,01/12/2017,softly earmarked,,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
137314,Paid Contribution,11/01/2017,11/01/2017,1051514,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2017,,,Physicians Across Continents,2017,NGO: International,Yemen,,Health,Yes,04/12/2017,04/12/2017,,2017,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
137427,Paid Contribution,12/12/2017,05/12/2017,35545024,"Germany, Government of",Government: National government,Germany,2017,,,Yemen Humanitarian Fund,2017,Pooled fund: Country-based,Yemen,,,Yes,18/12/2017,14/12/2017,softly earmarked,,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
137775,Paid Contribution,19/01/2018,27/11/2017,696864,"Spain, Government of",Government: National government,Spain,2017,,,Yemen Humanitarian Fund,2017,Pooled fund: Country-based,Yemen,,,Yes,23/01/2018,23/01/2018,softly earmarked,,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
137790,Paid Contribution,18/12/2017,01/12/2017,888626,"Ireland, Government of",Government: National government,Ireland,2017,,,Yemen Humanitarian Fund,2017,Pooled fund: Country-based,Yemen,,,Yes,20/12/2017,20/12/2017,softly earmarked,,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
137791,Paid Contribution,18/12/2017,07/12/2017,3592384,"Sweden, Government of",Government: National government,Sweden,2017,,,Yemen Humanitarian Fund,2017,Pooled fund: Country-based,Yemen,,,Yes,20/12/2017,20/12/2017,softly earmarked,,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
137793,Paid Contribution,21/12/2017,12/12/2017,592417,"Ireland, Government of",Government: National government,Ireland,2017,,,Yemen Humanitarian Fund,2017,Pooled fund: Country-based,Yemen,,,Yes,27/12/2017,27/12/2017,softly earmarked,,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
137817,Paid Contribution,19/12/2017,14/12/2017,1422764,"Switzerland, Government of",Government: National government,Switzerland,2017,,,Yemen Humanitarian Fund,2017,Pooled fund: Country-based,Yemen,,,Yes,22/12/2017,21/12/2017,softly earmarked,,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
137911,Paid Contribution,18/12/2017,18/12/2017,17773,"Lithuania, Government of",Government: National government,Lithuania,2017,,,World Food Programme,2017,UN agency,Yemen,,,Yes,12/02/2018,12/02/2018,,2017,financial,Standard,World Food Programme,,,
137957,Paid Contribution,16/11/2017,16/11/2017,2335092,"United Kingdom, Government of",Government: National government,United Kingdom,2017,,,World Food Programme,2017,UN agency,Yemen,Logistics,Logistics,Yes,21/12/2017,21/12/2017,,,financial,Standard,World Food Programme,,,
137958,Paid Contribution,20/10/2017,20/10/2017,117925,"Estonia, Government of",Government: National government,Estonia,2017,,,World Food Programme,2017,UN agency,Yemen,,,Yes,21/12/2017,21/12/2017,,,financial,Standard,World Food Programme,,,
137959,Paid Contribution,30/11/2017,30/11/2017,4645761,"Germany, Government of",Government: National government,Germany,2017,,,World Food Programme,2017,UN agency,Yemen,,,Yes,26/02/2019,21/12/2017,,,financial,Standard,World Food Programme,,,
137960,Paid Contribution,30/11/2017,30/11/2017,11614402,"Germany, Government of",Government: National government,Germany,2017,,,World Food Programme,2017,UN agency,Yemen,,,Yes,26/02/2019,21/12/2017,,,financial,Standard,World Food Programme,,,
137961,Paid Contribution,01/01/2017,01/01/2017,2857,Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,2017,,,World Food Programme,2017,UN agency,Yemen,,,Yes,21/12/2017,21/12/2017,,,financial,Standard,World Food Programme,,,
