,Flow ID,Flow status,Flow date,Decision date,Amount (USD),Original amount,Description,Source Organization,Source Organization type,Source Emergency,Source Location,Source Project,Source Usage year,Source Plan,Source Field cluster,Source Sector,Destination Organization,DestOrgCode,Destination Usage year,DestoOrgCode,Destination Plan,Destination Organization type,Destination Emergency,Destination Location,Destination Project,Destination Field cluster,Destination Sector,Linked parent ID,Linked child ID,New money,Donor project code,Modality,Last updated,Created,Version ID,Earmarking,Budget year,Contribution type,Exchange rate,Original currency,Amount shared on boundary (USD),Flow type,Reporting organization,Unnamed: 41,Unnamed: 42,Unnamed: 43
136517,165678,Paid Contribution,09/10/2017,,1872412,6877371,logistics costs of the campaign (the Commandment of Zayed people of Yemen) in the province of Marib,"United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2017,,,,Red Crescent Society of the United Arab Emirates,,2017,,,Red Cross/Red Crescent: National Society,,Yemen,,,Camp Coordination / Management,,,Yes,YEM-2017-095,Traditional aid,21/11/2017,07/11/2017,1,,,financial,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
136518,165679,Paid Contribution,28/08/2017,28/08/2017,1899827,6978066,"The campaign of the ""Commandment of Zayed to people in Yemen"" in the province of Aden and the neighboring provinces (Taiz / Abyan / Lahj / Dali)","United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2017,,,,Red Crescent Society of the United Arab Emirates,,2017,,,Red Cross/Red Crescent: National Society,,Yemen,,,Camp Coordination / Management,,,Yes,YEM-2017-109,Traditional aid,21/11/2017,07/11/2017,1,,,financial,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
136519,165680,Paid Contribution,17/08/2017,17/08/2017,1227075,4507048,Shipping and transfer of medicines and medical solutions in the governorates of Aden / Abyan / Dali / Hajj / Taiz / Shabwa,"United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2017,,,,Red Crescent Society of the United Arab Emirates,,2017,,,Red Cross/Red Crescent: National Society,,Yemen,,,Health,,,Yes,YEM-2017-108,Traditional aid,07/11/2017,07/11/2017,1,,,financial,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
136520,165681,Paid Contribution,03/08/2017,03/08/2017,426632,1567020,Restoration and maintenance of Al-Wafah School + Hassa School,"United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2017,,,,Red Crescent Society of the United Arab Emirates,,2017,,,Red Cross/Red Crescent: National Society,,Yemen,,,Education,,,Yes,YEM-2017-116,Traditional aid,07/11/2017,07/11/2017,1,,,financial,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
136521,165682,Paid Contribution,09/09/2017,09/09/2017,800436,2940000,"Signing a contract for the supply of engines, pumps, pipes and other tools for the Water and Sanitation Foundation / Aden","United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2017,,,,Red Crescent Society of the United Arab Emirates,,2017,,,Red Cross/Red Crescent: National Society,,Yemen,,,Water Sanitation Hygiene,,,Yes,YEM-2017-117,Traditional aid,07/11/2017,07/11/2017,1,,,financial,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
136540,165705,Paid Contribution,13/07/2017,,948767,8000000,"Global Partnership Agreement between the Norwegian Ministry of Foreign Affairs (MFA) and the Norwegian Refugee Council (NRC) regarding assistance to displaced people worldwide, 2016-2018 (QZA-16/0141-40)","Norway, Government of",Government: National government,,Norway,,2017,,,,Norwegian Refugee Council,,2017,,Yemen Humanitarian Response Plan 2017,NGO: International,,Yemen,,,,,,Yes,QZA-16/0141-40,Traditional aid,07/11/2017,07/11/2017,1,,2017,financial,8.432,Norwegian Krone,,Standard,"Norway, Government of",,,
136564,165740,Paid Contribution,28/03/2017,28/03/2017,76547,696578,Humanitarian support 2017,"Sweden, Government of",Government: National government,,Sweden,,2017,,,,International Rescue Committee,,2017,,Yemen Humanitarian Response Plan 2017,NGO: International,,Yemen,YEM-17/H/105911/5179,Health,Health,,,Yes,52040485,Traditional aid,07/11/2017,07/11/2017,1,,2017,financial,9.1,Swedish Krona,,Standard,International Rescue Committee,,,
136577,165753,Paid Contribution,27/10/2017,22/12/2016,220070,2002637,"Integrated Health, Nutrition, WASH and WPE Emergency Response for Conflict-Affected Individuals in Yemen","Sweden, Government of",Government: National government,,Sweden,,2017,,,,International Rescue Committee,,2017,,Yemen Humanitarian Response Plan 2017,NGO: International,,Yemen,YEM-17/WS/105107/5179,WASH,Water Sanitation Hygiene,,,Yes,52040485,Traditional aid,08/11/2017,08/11/2017,1,,,financial,9.1,Swedish Krona,,Standard,International Rescue Committee,,,
136578,165754,Paid Contribution,27/10/2017,22/12/2016,239207,2176784,"Integrated Health, Nutrition, WASH and WPE Emergency Response for Conflict-Affected Individuals in Yemen","Sweden, Government of",Government: National government,,Sweden,,2017,,,,International Rescue Committee,,2017,,Yemen Humanitarian Response Plan 2017,NGO: International,,Yemen,YEM-17/P-HR-RL/106086/5179,Protection,Protection,,,Yes,52040485,Traditional aid,08/11/2017,08/11/2017,1,,,financial,9.1,Swedish Krona,,Standard,International Rescue Committee,,,
136849,166090,Paid Contribution,29/09/2017,,25082,92127,The first installment ( 30%) of the welles drilling project in the Directorate of Gail Bawazeer,"United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2017,,,,Red Crescent Society of the United Arab Emirates,,2017,,,Red Cross/Red Crescent: National Society,,Yemen,,,Water Sanitation Hygiene,,,Yes,YEM-2017-093,Traditional aid,14/11/2017,14/11/2017,1,,,financial,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
136850,166091,Paid Contribution,28/09/2017,,107595,395198,"Providing of 1000 seats for student to Shabwa schools, and school bags","United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2017,,,,Red Crescent Society of the United Arab Emirates,,2017,,,Red Cross/Red Crescent: National Society,,Yemen,,,Education,,,Yes,YEM-2017-097,Traditional aid,14/11/2017,14/11/2017,1,,,financial,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
136851,166092,Paid Contribution,22/09/2017,,28776,105693,Providing a caravan with a tool for civil defense in Hadramout,"United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2017,,,,Red Crescent Society of the United Arab Emirates,,2017,,,Red Cross/Red Crescent: National Society,,Yemen,,,Coordination and support services,,,Yes,YEM-2017-098,Traditional aid,14/11/2017,14/11/2017,1,,,financial,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
136852,166093,Paid Contribution,22/09/2017,,4827,17730,Operation cost of UAE Red Crescent team in August 2017 in Hadramout / Marib / Al Mahra,"United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2017,,,,Red Crescent Society of the United Arab Emirates,,2017,,,Red Cross/Red Crescent: National Society,,Yemen,,,Coordination and support services,,,Yes,YEM-2017-099,Traditional aid,14/11/2017,14/11/2017,1,,,financial,3.6731,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
136853,166094,Paid Contribution,22/09/2017,,77537,284792,"Rehabilitation (The health center project in Al-Dais Al-Sharqiya Directorate, Al-Najdeen Health Unit in Al-Dulayah,and tuberculosis and chest center in Al-Mukalla Directorate) ,and providing( caravan clinic for Faweh,and 2 wheelchair for the disabled )","United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2017,,,,Red Crescent Society of the United Arab Emirates,,2017,,,Red Cross/Red Crescent: National Society,,Yemen,,,Health,,,Yes,YEM-2017-100,Traditional aid,14/11/2017,14/11/2017,1,,,financial,3.6731,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
136854,166095,Paid Contribution,22/09/2017,,4024,14781,Distribution of food parcels in Hadramout / Marib / Al Mahra,"United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2017,,,,Red Crescent Society of the United Arab Emirates,,2017,,,Red Cross/Red Crescent: National Society,,Yemen,,,Food Security,,,Yes,YEM-2017-101,Traditional aid,14/11/2017,14/11/2017,1,,,financial,3.6732,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
136855,166096,Paid Contribution,22/09/2017,,18191,66817,Costs of treatment and surgery for Yemeni citizens in Hadramout / Marib / Al Mahra governorates,"United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2017,,,,Red Crescent Society of the United Arab Emirates,,2017,,,Red Cross/Red Crescent: National Society,,Yemen,,,Health,,,Yes,YEM-2017-102,Traditional aid,14/11/2017,14/11/2017,1,,,financial,3.6731,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
136856,166097,Paid Contribution,22/09/2017,,24059,88370,Strengthening Project power line Rayyan area in Mukalla and the strengthening of the mosque Electricity,"United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2017,,,,Red Crescent Society of the United Arab Emirates,,2017,,,Red Cross/Red Crescent: National Society,,Yemen,,,Early Recovery,,,Yes,YEM-2017-103,Traditional aid,14/11/2017,14/11/2017,1,,,financial,3.6731,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
136857,166098,Paid Contribution,22/09/2017,,28116,103271,Rehabilitation the school of Al-Shababat in Al-Dali'a Directorate,"United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2017,,,,Red Crescent Society of the United Arab Emirates,,2017,,,Red Cross/Red Crescent: National Society,,Yemen,,,Education,,,Yes,YEM-2017-104,Traditional aid,14/11/2017,14/11/2017,1,,,financial,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
136858,166099,Paid Contribution,22/09/2017,,19201,70526,The first installment ( 50%) the project of supplying the wells pumps in the Directorate of Gail Bawazeer,"United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2017,,,,Red Crescent Society of the United Arab Emirates,,2017,,,Red Cross/Red Crescent: National Society,,Yemen,,,Water Sanitation Hygiene,,,Yes,YEM-2017-106,Traditional aid,14/11/2017,14/11/2017,1,,,financial,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
136859,166100,Paid Contribution,22/09/2017,,225909,829764,"Diesel exchange for the 36,000-liter power plant in Shabwa","United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2017,,,,Red Crescent Society of the United Arab Emirates,,2017,,,Red Cross/Red Crescent: National Society,,Yemen,,,Early Recovery,,,Yes,YEM-2017-107,Traditional aid,14/11/2017,14/11/2017,1,,,financial,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
136860,166101,Paid Contribution,11/10/2017,,7204,26460,The project of supplying equipment to the Institute of Technical Education and Vocational,"United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2017,,,,Red Crescent Society of the United Arab Emirates,,2017,,,Red Cross/Red Crescent: National Society,,Yemen,,,Education,,,Yes,YEM-2017-111,Traditional aid,14/11/2017,14/11/2017,1,,,financial,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
136861,166102,Paid Contribution,28/09/2017,,50027,183750,Operation cost of UAE Red Crescent team in August 2017 in the governorates of Aden / Abyan / Dali / Lahj / Taiz / Shabwa,"United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2017,,,,Red Crescent Society of the United Arab Emirates,,2017,,,Red Cross/Red Crescent: National Society,,Yemen,,,Coordination and support services,,,Yes,YEM-2017-112,Traditional aid,14/11/2017,14/11/2017,1,,,financial,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
136862,166103,Paid Contribution,21/08/2017,,124468,457170,"Supply, installation, and training of medical equipment for the operations room in Shukri Health Center, Also maintenance the operations room in Al-Muzaffar Hospital","United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2017,,,,Red Crescent Society of the United Arab Emirates,,2017,,,Red Cross/Red Crescent: National Society,,Yemen,,,Health,,,Yes,YEM-2017-113,Traditional aid,14/11/2017,14/11/2017,1,,,financial,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
136863,166104,Paid Contribution,13/09/2017,,19244,70683,"Distribution of 17,100 food baskets + 3,500 bag of sugar in the governorates of Aden / Abyan / Dali / Lahj / Taiz / Shabwa","United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2017,,,,Red Crescent Society of the United Arab Emirates,,2017,,,Red Cross/Red Crescent: National Society,,Yemen,,,Food Security,,,Yes,YEM-2017-114,Traditional aid,14/11/2017,14/11/2017,1,,,financial,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
136864,166105,Paid Contribution,27/09/2017,,1201,4410,The costs of treatment and surgeries for Yemeni citizens in the governorates of Aden / Abyan / Dali / Hajj / Taiz / Shabwa,"United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2017,,,,Red Crescent Society of the United Arab Emirates,,2017,,,Red Cross/Red Crescent: National Society,,Yemen,,,Health,,,Yes,YEM-2017-115,Traditional aid,14/11/2017,14/11/2017,1,,,financial,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
136889,166133,Paid Contribution,07/09/2017,,711146,5500000,MFA support to ICRC Operations Appeals 2017 in Yemen. (QZA-17/0147-12),"Norway, Government of",Government: National government,,Norway,,2017,,,,Norwegian Red Cross,,2017,,,Red Cross/Red Crescent: National Society,,Yemen,,,,,,Yes,QZA-17/0147-12,Traditional aid,15/11/2017,15/11/2017,1,,2017,financial,7.734,Norwegian Krone,,Standard,"Norway, Government of",,,
136901,166145,Paid Contribution,03/09/2017,,830171,7000000,MFA support to ICRC Operations Appeals 2017 in Yemen. (QZA-17/0147-12),"Norway, Government of",Government: National government,,Norway,,2017,,,,Norwegian Red Cross,,2017,,,Red Cross/Red Crescent: National Society,,Yemen,,,,,,Yes,QZA-17/0147-12,Traditional aid,15/11/2017,15/11/2017,1,,2017,financial,8.432,Norwegian Krone,,Standard,"Norway, Government of",,,
137155,166610,Paid Contribution,01/11/2017,01/11/2017,1742160,1500000,Multi-Sector Project: Protection Activities for IDPs,"Finland, Government of",Government: National government,,Finland,,2017,,,,United Nations High Commissioner for Refugees,,2017,,Yemen Humanitarian Response Plan 2017,UN agency,,Yemen,YEM-17/P-HR-RL/105201/R/120,Protection,Protection,,,Yes,,Traditional aid,21/12/2017,21/12/2017,2,,2017,financial,0.861,European Euro,,Standard,United Nations High Commissioner for Refugees,,,
137270,167007,Paid Contribution,29/11/2017,29/11/2017,2903600,2500000,Yemen - CBPF. [OCT 5840],"Netherlands, Government of",Government: National government,,Netherlands,,2017,,,,Yemen Humanitarian Fund,,2017,,Yemen Humanitarian Response Plan 2017,Pooled fund: Country-based,,Yemen,,,,,,Yes,OCT 5840,Traditional aid,04/12/2017,01/12/2017,1,softly earmarked,,financial,0.861,European Euro,,Standard,Office for the Coordination of Humanitarian Affairs,,,
137314,167245,Paid Contribution,11/01/2017,11/01/2017,1051514,3943178,Continue establishing a dialysis center for kidney patients in Dale Governorate.,"Saudi Arabia (Kingdom of), Government of",Government: National government,,Saudi Arabia,,2017,,,,Physicians Across Continents,,2017,,,NGO: International,,Yemen,,,Health,,,Yes,243,Traditional aid,04/12/2017,04/12/2017,1,,2017,financial,3.75,SAR,,Standard,"Saudi Arabia (Kingdom of), Government of",,,
